id,title,relaxed,excited,loneliness,depression,annoyance,regret,unfairness,fear,stress,worry
269,니가 뭔데 (Who You?),10.4,9.26,19.68,2.18,8.45,19.66,2.78,1.09,6.86,18.63
270,꿈이 뭐야 (Dream Chaser) (Feat. Dok2 & 크러쉬),12.05,2.21,3.91,11.95,19.38,5.85,2.79,4.87,10.92,24.09
271,Digital Lover (그레이 (GRAY) ver.),7.38,12.32,19.56,6.95,0.74,3.29,1.05,12.6,17.44,18.67
272,Moon Blue,5.63,25.58,11.27,14.1,9.68,17.79,2.69,3.01,6.16,4.08
273,하기나 해 (Feat. Loco),9.22,11.71,2.66,21.7,11.07,3.03,3.97,2.72,12.11,21.81
274,I Don't Love You (Feat. 쿠기),7.12,7.12,10.29,6.63,13.19,23.09,10.39,4.49,15.05,2.64
275,STAY THE NIGHT (Feat. DeVita),21.04,15.76,2.01,1.43,5.81,10.06,3.38,17.17,4.57,18.67
276,Summer Night (Remix) (Feat. Hoody),5.8,25.56,8.49,5.54,10.58,11,2.82,14.05,4.45,11.71
277,TMI,25.65,18.45,3.42,4.96,4.09,4.5,3.65,2.15,21.6,11.54
278,"잘 (I`m fine) (With 슬리피, 로꼬, Hoody)",16.11,20.11,0.91,14.16,1.15,3.49,5.54,3.71,12.49,22.35
279,깜빡 (Feat. Zion.T & Crucial Star),0.34,18.68,2.14,17.13,19.74,11.28,7.15,2.63,18.45,2.47
280,데려가줘 (Feat. MOON),20.49,25.71,5.02,3.35,13.18,10.47,3.98,4.2,8.3,5.3
281,썸머 (SOME MORE),16.28,20.02,0.79,6.86,3.79,19.6,1.83,1.5,11.52,17.82
282,"Sunday (Feat. 헤이즈 (Heize), 박재범)",19.34,6.16,19.14,10.78,7.77,6.74,1.66,10.78,16.56,1.07
283,"어디쯤에 (Feat. 수란 (SURAN), pH-1)",2.95,11.69,1.5,24.94,2.78,9.03,15.9,5.76,21.48,3.98
284,"Loyalty (Feat. 에일리, Dok2)",24.31,22.75,2.46,4.85,3.2,11.89,7.07,5.29,5.61,12.58
285,봄 사랑 벚꽃 말고,10.41,4.62,21.8,20.46,2.28,8.5,6.17,19.05,3.54,3.18
286,한강 (HANGANG),24.25,15.96,4.43,3.77,7.16,18.13,2.58,5.06,7.35,11.31
287,Like You,16.53,12.69,9.32,7.6,2,20.79,14.23,2.2,12.88,1.78
288,Let It Go,2.42,4.44,2.27,13.69,20.36,8.23,4.66,22.03,7.94,13.96
289,Into the Unknown,15,6.4,16.17,5.48,7.14,2.34,4.2,22.24,1.2,19.83
290,사랑을 했다 (LOVE SCENARIO),5.5,4.33,20.48,24.3,1.69,24.02,9.22,2.01,4.27,4.17
291,취향저격,22.19,22.31,0.88,1.15,1.19,3.19,15.62,7.39,18.44,6.84
292,LOCO,9.11,19.52,2.93,0.72,18.99,20.22,1.57,5.89,16.46,4.59
293,마.피.아. In the morning,4.28,26.52,4.94,4,9.28,18.16,10.21,9.3,6.32,6.99
294,Sorry Not Sorry,11.31,13.33,8.01,7.59,23.49,3.19,9.01,5.42,14.05,4.62
295,달라달라,3.72,21.25,2.16,2.6,16.09,19.71,9.75,6.35,16.68,1.68
296,ICY,12.22,23.79,2.45,3.59,19.21,10.54,1.93,9.44,1.72,15.11
297,WANNABE,9.36,6.51,4.95,6.84,27.64,3.6,6.35,4.74,26.99,3.01
298,Not Shy,5.63,19.73,16.65,5.22,10.96,8.18,2.21,17.96,11.22,2.24
299,ELEVEN,19.95,13.63,1.2,3.32,1.24,13.66,4.34,19.71,8.56,14.38
300,LOVE DIVE,6.27,21.98,2.26,1.13,20.22,5.34,4.64,16.29,10.73,11.14
301,라비앙로즈 (La Vie en Rose),26.53,21.21,8.82,9.74,12.2,1.61,6.56,2.32,9.31,1.69
302,Apollo 11 (Feat. 박재범),7,15.59,4.14,5.49,4.98,19.88,7.15,10.17,22.74,2.86
303,Numbers (Feat. 창모 (CHANGMO)),0.61,4.23,2.59,12.25,22.14,15.15,10.69,9.88,17.67,4.79
304,Rainy,7.88,4.92,25.15,24.04,3.12,6.24,3.58,4.86,18.36,1.85
305,Domino,7.41,25.54,11.82,13.64,4.1,15.56,5.13,4.47,7,5.33
306,Price Tag (Feat. B.o.B.),19.8,13.59,2.17,15.21,4.44,3.53,2.86,5.09,12.73,20.57
307,띵 (Prod. By 기리보이),2.53,8.22,14.59,27.05,5.35,6.81,3.87,6.86,20.37,4.36
308,Fadeaway,4.49,21.98,5.76,10.15,5.62,14.73,5.32,22.02,6.99,2.95
309,Oh NaNa (Hidden. 허영지),4.77,20.76,12.75,2.16,13.55,13.68,11.43,15.09,3.01,2.8
310,Don`t Recall,1.23,4.77,8.14,3.9,24.07,2.82,13.83,15.76,22.83,2.65
311,RUMOR,1.98,4.51,18.95,18.85,16.9,1.46,2.9,1.74,11.99,20.71
312,How Can You Realize?,18.36,12.26,5.41,13.03,2.56,22.33,2.22,2.95,2.75,18.12
313,IZAKAYA (Feat. Jvcki Wai),3.38,22.55,3.65,2.37,23.59,3.49,3.77,14.58,18.81,3.81
314,색 (Feat. MOON),5.22,8.71,2.87,23.69,3.3,24.67,3.14,3.42,20.55,4.44
315,한사람,4.06,3.39,12.9,17.65,2.32,14.43,1.71,1.26,22.01,20.28
316,해야할 일,7.32,18.2,4.76,20.37,1.35,21.83,5.39,3.41,14.81,2.56
317,마음 단단히 먹어 (Feat. 에일리),3.42,5.02,5.58,24.39,5.73,15.27,2.8,20.36,3.25,14.16
318,도망가자 (Feat. 린),2.81,10.77,8.71,3.11,6.72,5.34,3.67,24.85,14.99,19.03
319,"고장난 선풍기 (Feat. 개리, 효린 Of 씨스타)",16.35,17.24,11.94,24.61,2.72,3.51,2.99,6.27,3.93,10.44
320,Now,5.88,12.57,1.14,23.08,4.34,5.65,23.61,13.4,1.67,8.66
321,Day n Nite (Feat. 식케이 (Sik-K)),3.42,18.54,10.34,18.71,9.02,23.16,7.86,3.99,2.55,2.4
322,MILLION (Feat. DOK2),26.01,25.85,12.6,3.65,2.11,6.31,9.24,3.38,4.31,6.53
323,밤거리 (Feat. Zion.T),3.13,8.04,22.24,11.82,8.25,21.73,2.48,3.82,16.88,1.61
324,멀어져가,1.75,5.06,11.14,21.34,18.13,4.15,0.96,1.41,13.95,22.1
325,이 밤이 (Feat.  Vince),21.89,13.28,4.62,5.84,5.81,21.38,2.42,0.58,16.15,8.03
326,BOSS,6.11,20.56,8.91,6.86,2.07,4,8.04,18.39,20.02,5.03
327,Nerdy Love (Feat. 백예린),5.43,24.49,4.62,4.32,23.42,15.78,5.91,10.11,3.54,2.39
328,ANYMORE (feat. ASH ISLAND),4.78,20.53,7.1,19.99,2.9,15.65,1.99,3.29,2.86,20.92
329,"트루먼 쇼 Remix (Feat. 안병웅, Owen Ovadoz)",3.29,14.4,2.24,3.57,10.31,10.23,24.08,2.66,18.69,10.54
330,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),22.81,17.93,2.49,7.67,3.88,11.52,2.9,6.47,1.87,22.24
331,HONEYMOON,20.54,7.85,5.7,17.32,2.55,18.96,18.34,5.58,1.61,1.54
332,MALIBU,21.18,14.98,0.75,4.9,10.6,7.69,9.54,1.1,7.55,21.69
333,ROSEMARY,8.3,26.06,5.23,22.32,3.98,16.11,5.46,4.63,2.93,4.98
334,ICELAND,8.89,18.15,16.27,1.5,5.36,13.46,0.83,15.79,16.87,2.86
335,ON-AIR (Feat. PLUMA),22.85,22.44,3.44,3.05,13.89,21.37,3.44,6,1.84,1.67
336,카누 (Feat. 비비 (BIBI)),7.2,13.87,6.63,4.35,5.97,10.31,14.88,3.37,13.3,20.13
337,"Yours (Feat. 이하이, 창모)",3.5,17.43,0.36,18.61,2.42,13.87,11.41,4.65,7.81,19.94
338,Psycho,15.96,7.93,2.71,0.55,9.57,2.55,16.04,8.15,20.94,15.58
339,Milky Way,26.83,13.93,5.73,14.1,2.94,12.33,6.57,5.66,6.04,5.88
340,Rookie,4.97,23.42,2.12,3.39,13.3,3.15,22.09,3.98,18.34,5.23
341,러시안 룰렛 (Russian Roulette),19.9,23.99,3.89,2.79,9.1,2.17,1.37,23.44,5.7,7.64
342,Ice Cream Cake,9.28,24.94,4.45,7.34,18.16,7.99,1.35,12.31,3.18,11.01
343,Automatic,22.1,18.89,1.91,16.49,2.21,3.84,0.91,3.62,13.93,16.08
344,Be Natural (Feat. SR14B `TAEYONG (태용)`),25.71,24.92,3.7,11.06,1.85,8.19,3.08,6.22,5.45,9.83
345,Bad Boy,2.36,12.43,23.7,20.54,2.91,4.92,2.97,15.27,6.67,8.41
346,Dumb Dumb,13.94,23.65,2.53,5.91,6.74,1.33,15.29,13.69,4.26,12.66
347,Time Slip,24.06,17.16,2.36,1.12,3.77,0.59,14.62,17.09,4.03,15.2
348,빨간 맛 (Red Flavor),23.51,23.66,1.49,3.65,7.83,16.24,0.64,0.67,11.5,10.81
349,7월 7일 (One Of These Nights),5.99,5.83,8.94,22.61,5.72,9.55,2.42,4.38,7.15,27.42
350,숨소리 (Breath) (Sung By 태연 (소녀시대) & 종현 (샤이니)),2.96,15.3,12.01,10.76,17.14,21.99,3.7,4.92,9.38,1.83
351,하루 (A Day Without You) (Sung By 종현 (샤이니) & CHEN (EXO)),4.71,4.79,3.42,6.97,23.47,22.04,1.44,2.04,24.29,6.84
352,SWEATY (Feat. Crush),21.7,20.61,2.33,19.41,1.01,20.94,2.16,3.33,5.91,2.59
353,ZGZG,13.9,19.16,4.06,4.54,5.56,14.91,1.23,4.89,16.9,14.85
354,Body Language (Feat. 범키),5.86,23.1,1.95,8.09,4.25,5.43,1.34,7.36,19.6,23.03
355,아는사람 얘기,6.36,2.89,24.29,23.42,6.31,14.06,7.6,4,7.95,3.12
356,Me You (Feat. 백예린 Of 15&),20.06,19.33,9.32,1.03,19.64,5.57,6.4,11.49,4.57,2.59
357,한여름밤의 꿀,9.06,23.49,12.08,4.58,13.55,21.6,1.18,3.93,7.8,2.74
358,Coach Me (Feat. 주헌),19.04,17.76,1.06,1.16,9.29,15.61,10.02,16.45,7.72,1.4
359,사랑하자,3.78,10.49,7.7,28.58,8.96,11.09,8.99,7.25,7.42,5.73
360,데리러 가 (Good Evening),21.18,24.1,4.15,9.9,4.3,22.89,1.26,4.24,1.65,6.32
361,Don't Call Me,13.28,17.98,3.29,2.25,3.53,4.18,1.26,14.88,20.31,19.03
362,Hello,25.85,10.24,1.6,4.62,5.2,5.85,3.79,17.36,1.55,23.95
363,산소 같은 너 (Love Like Oxygen),2.74,5.01,19.42,2.62,18.84,15.57,1.28,17.46,1.65,15.4
364,LFL (Feat. MELOH),14.38,14.07,3.81,7.46,10.05,23.79,4.87,3.58,12.93,5.07
365,"Party (Feat. Jhnovr, pH-1)",16.43,22.21,1.43,1.38,7.46,22,10.85,4.7,9.45,4.1
366,Distance (Sung By BoA),4.72,14.92,1.29,21.52,10.26,8.56,3.7,11.74,4.13,19.16
367,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),12.36,26.01,7.44,12.17,6.05,16.15,10.51,2.97,1.56,4.77
368,SO BAD,4.8,19.83,13.32,0.24,10.86,4.55,11.48,3.21,19.35,12.36
369,ASAP,14.48,23.81,1.65,10.68,3.87,8.63,2.58,7.14,4.12,23.05
370,Blanket (Feat. 원슈타인),2.25,3.09,1.26,12.36,21.45,4.08,4.25,3.27,24.47,23.53
371,의식의 흐름 (Feat. 윤미래),4.17,20.9,2.84,18.35,11.74,12.72,21.88,0.7,2.93,3.77
372,전화끊지마 (Feat. pH-1),10.78,15.3,23.4,14.41,3.8,8.47,5.74,6.07,8.68,3.37
373,Relax Moment,6.06,14.92,20.21,9.73,5.06,20.06,0.54,8.06,11.82,3.54
374,Sunny,4.88,24.18,7.43,13.48,8.39,21.77,5.3,5.06,1.99,7.51
375,그놈의 별 (Feat. 헤이즈 (Heize)),7.23,20.31,22.71,21.92,6.17,9.62,4.5,1.09,1.75,4.71
376,널 기다리고 있을게,5.11,16.78,3.07,22.86,2.1,23.02,3.09,3.65,18.23,2.1
377,서핑해 (Surfin'),18.01,20.31,5.83,6.53,5.49,19.47,2.61,15.68,2.16,3.9
378,안녕?!,2.56,6.35,5.75,24.45,2.15,11.85,18.03,18.34,5.83,4.69
379,Memories... (Smiling Tears),17.69,2.62,5.01,20.96,4.12,19.87,1.17,6.06,2.35,20.15
380,검은 행복,11.05,3.02,18.93,21.35,12.9,16.03,5.23,1.12,7,3.38
381,ALWAYS,1.54,11.84,24.36,20.92,4.34,16.32,8.91,1.78,1.33,8.66
382,FANCY,2.55,25.09,6.22,6.08,21.98,9.71,4.67,2.91,9.8,10.99
383,Feel Special,10.11,17.43,4.4,11.86,3.12,12.71,12.87,11.3,2.59,13.61
384,CHEER UP,13.08,21.43,1.46,3.6,9.88,8.79,16.51,7.25,10.22,7.78
385,Dance The Night Away,13.69,24.57,18.24,3.34,14,6.23,1.61,5.15,5.07,8.1
386,OOH-AHH하게,1.32,21.04,3.37,17.88,5.72,10.51,6.78,4.32,12.49,16.56
387,TT,9.92,23.94,8.58,6.85,2.47,9.35,2.65,23.74,8.46,4.04
388,LIKEY,10.78,25.31,2.92,14.99,5.27,15.23,1.42,5.67,10,8.4
389,거북이,20.55,19.99,12.28,4.68,20.24,1.28,6.51,2.73,10.4,1.33
390,What is Love?,2.34,22.44,2.68,6.2,4.92,10.27,1.23,18.58,10.84,20.5
391,"결 (Feat. 다이나믹 듀오, BewhY)",23.77,9.93,2.17,15.73,2.58,8.58,10.35,4.55,16.99,5.35
392,아무때나 (Feat. 식케이 (Sik-K)),9.42,11.41,8.71,5.3,7.07,24.74,8.84,7.76,10.51,6.23
393,"Why do u say (Feat. MOON, ASH ISLAND)",3.43,2.62,21.23,21.79,19.83,1.3,13.15,3.26,9.46,3.93
394,EVERYDAY,26.04,25.5,5.4,5.26,3.27,6.23,6.14,1.68,15.77,4.71
395,센치해,4.17,1.45,25.42,10.48,4.51,3.36,7.16,9.36,24.22,9.87
396,REALLY REALLY,7.96,24.62,2.02,6.96,24.91,11.68,3.48,5.73,9.84,2.81
397,보고싶었어,1.34,13.22,3.6,18.18,19.05,21.32,3.47,1.74,13.39,4.7
398,그때 그 순간 그대로 (그그그),10.38,24.35,2.76,12.93,12.04,10.72,4.56,4.29,15.98,1.99
399,Clink Clink (클링 클링),19.39,25.36,6.89,6.13,17.88,7.52,1.64,8.33,2.8,4.07
400,Break Away,0.46,2.16,19.18,15.51,1.03,11.88,6.22,17.47,20.46,5.63
401,SMILEY (Feat. BIBI),4.74,8.03,1.47,2,2.35,6.45,21.64,21.47,15.63,16.23
402,Fatal Love,1.78,18,16.12,2.02,19,17.53,18.18,2.2,4.62,0.57
403,ONE MORE NIGHT,21.87,18.92,15.17,1.75,10.8,1.03,1.33,19.7,4.79,4.87
404,WHAT DO YOU KNOW ABOUT ME,4.78,11.25,2.5,3.42,17.47,7.59,9.64,20.58,10.9,11.87
405,Long Long Time!,26.29,20.1,1.22,7.78,9.1,9.97,0.87,4.7,3.7,16.26
406,Colors,13.76,13.1,1.06,3.17,21.29,6.73,1.22,3.52,20.08,16.06
407,RUBBER DUCK,16.91,18.86,5.56,17.17,0.79,18.7,9.93,1.37,0.94,9.76
408,Liquor (Feat. Jvcki Wai),7.48,13.21,0.31,11.1,2.29,1.64,19.75,13.78,19.13,11.32
409,꺼내 먹어요,3.44,10.96,16.59,10.4,2.43,11.06,3.95,1.08,15.66,24.42
410,No Make Up,4.8,27.29,6.39,7.79,27.02,5.84,3.09,3.41,8.16,6.21
411,영화관,22.86,15.33,5.26,5.92,3.25,12.53,5.85,3.84,5.48,19.67
412,노래,8.65,21.74,1.26,5.41,18.19,21.64,15.35,1.42,2.97,3.36
413,미안해 (feat. Beenzino),4.57,10.67,5.3,9.35,1.62,19.63,19.54,5.82,3.01,20.5
414,Complex (feat. G-DRAGON),4.97,22.18,2.99,9.02,25.11,2.01,5.35,2.33,17.15,8.87
415,쿵 (Knock),9.42,25.87,7.8,6.61,11.17,18.57,4.07,5.91,5.02,5.56
416,양화대교,7.69,24.62,6.11,16.99,3.67,24.51,7.78,2.99,3.09,2.55
417,Kiss Me,14.16,26.83,6.12,10.94,3.67,14.32,2.78,7.08,5.34,8.76
418,그냥 (Just),5.05,6.14,3.49,2.27,17.34,13.27,7.63,21.91,21.8,1.11
419,Apple (Feat. 박재범),4.04,12.82,1.15,18.93,1.67,8.38,2.42,13.81,16.84,19.93
420,Paradise Lost,7.58,6.99,12.42,2.94,20.02,20.4,1.21,16.03,10.86,1.54
421,돌이킬 수 없는,1.64,11.16,3.31,23.69,2.1,8.12,22.06,4.07,21.27,2.58
422,피어나,6.44,26.2,8.81,5.24,15.97,14.29,6.5,7.93,4.34,4.29
423,진실 혹은 대담,2.94,16.91,1.55,6.46,20.73,18.92,2.3,0.93,9.63,19.63
424,노스텔지아 (Feat. 에릭),25.76,15.79,3.95,7.31,4.53,4.93,6.35,19.36,5.81,6.23
425,Running,14.62,24.56,4.62,8.57,12.1,20.3,4.51,4.82,3.27,2.63
426,사랑해서 그래,4.27,9.22,23.85,14.38,4.59,15.94,3.26,6.57,15.71,2.22
427,SELFISH,6.45,7.49,17.76,0.66,18.42,17.49,4.7,9.51,15.45,2.07
428,바람이나 좀 쐐 (Feat. MIWOO),4.57,11.96,23.56,12.84,4.52,11.44,1.71,4.64,10.72,14.03
429,"화장 지웠어 (Feat. Zion.T, HA_TFELT) (No Make Up)",13.93,3.73,2.58,3.39,9.73,24.62,3.68,8.99,5.11,24.27
430,바빠서 (Feat. 헤이즈 (Heize)),2.2,13.43,2.96,20.16,4.96,8.81,20.84,3.44,22.38,0.82
431,Wake Up (Prod. 코드 쿤스트),18.43,13.05,12.6,7.51,1.6,5.37,3.39,4.91,23.72,9.42
432,마음이 그래,3.44,3.09,10.66,22.57,2.35,7.87,19.94,11.27,12.62,6.18
433,새벽을 믿지 말자,8.41,20.55,3.15,24.66,2.91,22.69,5.66,3.74,4.33,3.9
434,어른아이,4.37,19.94,2.81,11.83,4.38,22.93,20.22,1.95,5.8,5.8
435,Trap,0.54,5.53,17.7,19.63,11.76,16.97,4.65,1.16,21.26,0.81
436,기억상실,3.09,13.89,4.49,21.5,0.79,22.03,2.91,8.34,2.51,20.45
437,날 그만 잊어요 (With Guitar),2.1,17.33,14.61,14.82,0.8,18.35,15.61,1.97,13.55,0.86
438,친구라도 될 걸 그랬어,1.82,6.77,6.84,26.53,8.57,15.12,8.3,6.09,13.28,6.69
439,Because Of You,1.41,6.01,18.7,24.39,1.87,23.51,9.55,2.11,3.97,8.48
440,남자라서,16.78,5.58,21.09,3.73,1.81,14.07,6.29,20.89,4.99,4.76
441,내 생각날 거야 (Narr. 이시영),7.93,1.75,12.94,16.51,3.42,20.92,11.33,10.71,3.74,2.76
442,구르미 그린 달빛,22.37,15.45,2.96,4.78,1.67,8.07,3,15.34,4.38,22.01
443,My Love,14.92,24.67,4.55,17.5,2.41,19.57,2.87,3.79,3.26,6.47
444,사랑은 없다,1.01,9.28,0.39,3.55,11.09,21.57,21.13,4.5,6.61,20.87
445,You Are My Everything,18.66,4.74,22.54,21.01,6.04,10.7,1.68,1.56,1.98,11.1
446,Loveholic,21.18,21.05,16.22,7.44,0.89,14.75,1.31,0.8,3.79,12.56
447,I Love You,8.24,22.22,3.39,23.23,1.48,22.34,3.07,2.04,11.54,2.45
448,기억해줘요 내 모든 날과 그때를,5.15,6.31,8.79,26.6,5.55,3.94,3.93,12.31,22.93,4.49
449,러브 레시피,5.9,24.32,5.31,1.61,23.94,2.91,4.55,11.07,8.72,11.68
450,질투나,5.23,8.78,14.51,7.55,9.37,6.42,7.79,4.83,27.88,7.64
451,Darling,6.29,24.52,15.08,15.57,5.92,4.4,6.22,6.09,7.43,8.47
452,링마벨 (Ring My Bell),16.79,26.58,5.03,9.27,4.33,5.89,3.17,8.92,4.41,15.61
453,잘해줘봐야,5.24,16.33,16.25,0.94,10.46,18.76,8.57,18.18,4.34,0.94
454,반짝반짝,13.97,25.98,4.13,1.39,13.22,11.06,16.87,4.48,6.68,2.21
455,"너, 한눈 팔지마!",4.06,13.76,7.64,3.98,5.18,4.6,8.16,2.27,23.98,26.37
456,나를 잊지마요,10.77,21.81,11.12,22.52,1.13,13.82,5.73,3.94,2.55,6.61
457,Something,1.08,12.58,22.15,5.33,6.05,3.36,13.79,8.58,19.08,7.99
458,기대해,4.03,23.58,5.94,8.3,14.66,23.07,2.78,4.48,11.7,1.46
459,여자 대통령,5.91,22.89,4.02,7.54,9.72,22.8,2.01,6.41,13.13,5.57
460,밤하늘의 별을(2020),21.31,24.88,10.01,4.61,1.91,9.35,2.89,3.24,9.06,12.74
461,"Gloomy Star (Feat. 1ho, Chan)",0.66,6.66,24.39,8.81,3.39,10.64,0.96,10.82,20.04,13.63
462,똑같았을거야 (Feat. Chan),3.91,9.7,22.76,22.97,1.61,21.6,7.38,1.52,7.56,1
463,"오늘,비 (feat. 1ho, Chan)",4.47,3,26.02,4.76,26.1,17.49,1.49,6.53,8.34,1.8
464,내가 더 많이 널 사랑해서,18.49,18.71,10.58,1.67,0.83,7.26,18.78,7.07,14.47,2.12
465,인셉션 (feat. 1ho & Chan),11.22,10.76,4.71,10.86,1.54,13.95,3.81,22.79,5.39,14.95
466,파란섬 (feat. 1ho & Chan),17.6,25.22,6.03,12.54,3.33,16.61,2.4,7.42,3.72,5.13
467,"계절 (feat. Chan, Sun)",1.56,4.27,4.19,15.25,14.54,20.54,2.97,5.64,8.08,22.96
468,심술 (Feat. 0back),1.52,2.62,5.05,1.2,20.13,20.21,4.23,11.15,18.45,15.43
469,Fly away,4.93,11.25,3.54,1.55,7.07,14.6,11.16,10.24,24.91,10.74
470,KNOCK (With 박문치),21.81,25.42,2.52,2.6,10.67,11.61,12.46,9.03,3.34,0.53
471,씨스루,13.81,20.43,6.01,8.07,3.6,14.9,7.72,2.33,17.12,6.01
472,Silly Silly Love,5.04,8.98,3.78,7.88,17.01,17.4,4.88,1.65,8.89,24.49
473,Pink!,16.19,6.16,0.92,2.89,1.17,19.23,13.37,6.93,15.64,17.49
474,흘러가자,5.4,1.13,4.97,13.8,3.89,21.03,8.76,21.52,10.04,9.46
475,24시간이 모자라,25.25,7.41,6.12,4.11,5.98,4.64,3.67,11.12,19.53,12.19
476,운이 좋았지,4.38,7.35,20.3,24.76,4.92,18.73,8.24,1.27,8.71,1.34
477,뭔가 잘못됐어,22.09,20.26,11.84,8,1.44,11.91,14.49,1.27,5.6,3.1
478,Lonely Night,0.5,11.27,19.87,16.78,12.93,19.81,1.8,3.93,11.41,1.68
479,별처럼,2.16,7.21,9.36,25.03,1.51,5.75,2.47,5.22,23.62,17.67
480,오늘 뭐 했는지 말해봐,18.65,14.05,14.72,24.13,3.3,2.76,8.76,4.11,6.68,2.87
481,우리의 방식,8.12,17.18,1.62,3.55,1.43,21.1,20.33,7.78,10.2,8.69
482,잘 가,10.49,10.93,5.73,18.05,5.17,24.42,4.98,7.33,6.15,6.77
483,꽃말,16.85,15.93,3.69,18.61,1.68,8.56,2.63,25.14,1.9,5.01
484,You already have,7.79,14.34,6.71,22.88,2.13,22.23,3.62,3.45,5.38,11.46
485,어른처럼 (With. 죠지),12.4,19.03,1.53,7.78,4.07,21.13,13.36,8.62,8.99,3.08
486,여행가,16.13,4.19,10.99,4.35,12.59,9.88,3.01,4.55,27.07,7.24
487,지그재그,2.5,16.71,6.44,22.16,20.13,16.33,11.58,1.06,1.58,1.5
488,끝,0.89,9.36,5.61,6.83,13.28,20.46,20.87,19.26,1.33,2.12
489,쪽쪽,4.16,20.45,2.22,0.61,21.43,2.12,16.78,15.2,8.45,8.57
490,야! (Feat. Babylon),2.82,21.12,5.84,20.95,14.52,21.58,1.38,1.42,8.85,1.52
491,스물,4.87,20.06,20.11,16.03,8.11,14.97,11.51,0.45,3.16,0.73
492,이별 뒷면,10.93,9.37,5.93,23.08,2.33,24.71,3.79,3.77,11.02,5.07
493,이번 겨울,10.07,24.23,4.33,5.76,3.08,19.49,4.61,15.12,5.6,7.72
494,Y (Prod. AVIN),9.9,2.2,24.38,10.29,5.32,19.55,2.82,6.18,3.85,15.51
495,여기까지,17,12.38,2.43,8.7,6.37,9.52,23.38,7.66,5.04,7.52
496,삼다도 소식,25.7,17.77,5.93,10.64,6.38,15.84,0.64,0.47,15.4,1.24
497,광화문에서 (At Gwanghwamun),6.77,0.65,20.37,12.36,1.24,19.95,18.08,4.04,6.57,9.97
498,블라블라 (Prod.by 윤종신),23.56,3.95,21.06,5.2,11.68,17.01,6.42,5.06,4.42,1.63
499,다시 만나는 날 (Goodbye for now),4.21,3.8,1.3,8.31,16.01,21.22,21.82,14.73,2.32,6.28
500,밀리언조각 (A Million Pieces),2.57,23.19,6.01,23.86,2.85,19.57,6.2,6.6,2.28,6.87
501,"어디쯤에 (Feat. 수란 (SURAN), pH-1)",2.95,11.69,1.5,24.94,2.78,9.03,15.9,5.76,21.48,3.98
502,follow the light (Feat. Hoody),20.88,22.84,8,6.41,19.16,1.66,5.04,5.05,8.81,2.14
503,Palette (Feat. pH-1),4.44,11.86,6.85,7.28,27.35,3.83,16.81,3.97,10.16,7.46
504,"My Paradise (Feat. 청하, VINXEN)",0.68,4.53,19.93,24.58,8.86,18.14,8.08,1.71,5.75,7.74
505,"행성 (This Night) (Feat. Blue.D, Jhnovr)",4.12,16.76,21.02,25.31,5.03,5.94,4.5,4.04,2.52,10.76
506,교통정리 (Feat. 헤이즈 (Heize)),21.37,20.46,1.3,1.47,4.38,10.89,9.41,21.48,3.61,5.63
507,"아퍼 (Band Ver.) (Feat. 영비, YUNHWAY, Lil tachi, 한요한, JUSTHIS, 스윙스)",11.24,1.17,19.02,2.42,18.08,9.77,1.38,14.09,2.1,20.73
508,연기 (With 헤이즈 (Heize)),1.22,11.91,13.22,14.1,16.72,21.02,3.73,1.45,15.33,1.3
509,을 (Feat. BIG Naughty (서동현)),12,23.27,2.19,2.94,19.71,10.32,1.13,6.08,10,12.35
510,와츠롱 (Feat. YUNHWAY),4.43,13.32,4.08,0.61,15.95,12.9,2.43,25.04,2.72,18.52
511,"거지 (Feat. YUNHWAY, Jhnovr, JUSTHIS)",14.34,7.03,5.78,22.97,3.39,3.47,18.79,15.86,3.13,5.25
512,호랑이소굴 (Feat. Jvcki Wai),12.5,3.31,0.55,7.47,10.22,6.52,18.07,2.97,19.28,19.1
513,flex (Prod. by 기리보이),17.9,16.64,4.69,0.87,16.26,3.61,6.23,15.59,1.75,16.46
514,Wash Away (Feat. 에일리),17.22,14.73,9.69,22.22,3.12,19.73,6.9,1.93,2.9,1.56
515,어땠을까,19.23,16.29,6.29,14.12,1.08,21.69,8.01,3,6.46,3.83
516,Advice (Feat. John Park),10.31,5.27,3.15,1.68,1.77,20.21,20.44,15.44,9.06,12.68
517,꾸러기 (Groggy),11.31,6.24,1.2,4.13,17.44,21.13,1.52,13.03,21.07,2.92
518,Fall Away,6.34,4.1,8.46,18.86,1.13,21.37,13.2,2.4,2.12,22.04
519,하루하루,3.79,6.69,6.52,26.48,6.92,13.44,3.64,9.82,16.01,6.7
520,Like a child,4.13,26.04,9.99,11.95,15.7,11.54,2.81,4.21,9.16,4.46
521,내가 미친년이야,4.52,11.33,9.95,14.65,6.45,23.86,8.67,2.97,13.11,4.5
522,티라미수 케익 (Feat. 최유리),5.03,25.64,6.81,14.83,5.34,12.72,2.5,7.88,4.72,14.53
523,해독제,0.96,2.12,15.29,20.59,17.27,14.56,2.5,3.5,21.76,1.45
524,따르릉,4.02,23.63,1.64,2.51,17.11,13.67,10.42,5.39,18.07,3.54
525,안되나용,3.18,4.87,24.49,18.35,7.17,6.35,10.76,2.35,20.65,1.83
