id,title,tempo,zero_crossing_rating,pitch,loudness,length
1248,삐삐,143.5546875,46135,540.1003057,4287768,540.1003057
1249,다리꼬지마,123.046875,31104,707.3020497,2610432,707.3020497
1250,매력있어,129.1992188,23408,494.0016459,3029184,494.0016459
1251,Officially Missing You,105.46875,13433,470.8368755,4058496,470.8368755
1252,외국인의 고백,117.4538352,28610,503.064681,3960576,503.064681
1253,사랑은 은하수 다방에서,123.046875,24424,453.5979331,4039488,453.5979331
1254,Crescendo (크레셴도),126.0480183,22555,491.62103,3666240,491.62103
1255,라면인건가,103.359375,27097,518.6676669,4199616,518.6676669
1256,DINOSAUR,80.74951172,13328,618.3629687,5304696,618.3629687
1257,MY DARLING,90.66611842,36692,600.9844911,4967736,600.9844911
1258,I Love You,126.0480183,30434,524.9721628,4070592,524.9721628
1259,Be With You,103.359375,34571,538.575455,4117560,538.575455
1260,RE-BYE,129.1992188,24284,526.1486015,4161336,526.1486015
1261,사람들이 움직이는 게,123.046875,34627,601.5521778,4462584,601.5521778
1262,새삼스럽게 왜,92.28515625,15789,518.3289449,4382520,518.3289449
1263,초록창가,126.0480183,43933,644.3198272,4416504,644.3198272
1264,사소한 것에서,151.9990809,18567,519.5165926,5666424,519.5165926
1265,주변인,103.359375,15036,433.245616,5346168,433.245616
1266,생방송,143.5546875,19550,641.294097,5364024,641.294097
1267,리얼리티,79.50721154,17367,638.9687113,3815160,638.9687113
1268,오랜 날 오랜 밤,117.4538352,9343,465.230766,6257976,465.230766
1269,못생긴 척,120.1853198,48067,707.596774,4396920,707.596774
1270,CHOCOLADY,184.5703125,18958,520.6331108,5365752,520.6331108
1271,YOU KNOW ME,123.046875,23671,635.395842,3999480,635.395842
1272,집에 돌아오는 길,139.6748311,70750,554.2433512,5034552,554.2433512
1273,그때 그 아이들은,139.6748311,26240,586.7580494,5836344,586.7580494
1274,시간과 낙엽,117.4538352,15345,436.9111302,5456448,436.9111302
1275,Give Love,95.703125,25554,579.9857938,3894336,579.9857938
1276,200%,101.3327206,37891,572.9749829,4264704,572.9749829
1277,얼음들,120.1853198,13110,463.8458644,5196096,463.8458644
1278,지하철에서,117.4538352,17767,358.2342683,4894272,358.2342683
1279,가르마,93.96306818,18752,529.915649,4994496,529.915649
1280,인공잔디,87.59269068,31020,598.0754127,4983552,598.0754127
1281,안녕,112.3471467,9080,375.4942872,5019840,375.4942872
1282,작은별,109.9567819,28035,507.2898969,5008896,507.2898969
1283,길이나,123.046875,15036,521.6504453,4176000,521.6504453
1284,소재,126.0480183,24828,682.8043695,4410432,682.8043695
1285,Galaxy,126.0480183,11193,463.4079963,3951936,463.4079963
1286,촌스럽게 굴지마 (Feat. 용준형),166.7086694,33915,555.2197743,4978944,555.2197743
1287,365일,69.83741554,18377,528.9862252,5617728,528.9862252
1288,펑펑,72.78829225,13560,610.3416747,5041152,610.3416747
1289,지우개,123.046875,18673,554.4107525,5309568,554.4107525
1290,Bang!,60.09265988,42007,899.8691678,4371840,899.8691678
1291,Diva,129.1992188,32259,985.3146279,4392576,985.3146279
1292,AH,123.046875,40297,829.9463657,4165080,829.9463657
1293,Shampoo,166.7086694,47716,557.2941661,6055800,557.2941661
1294,너 때문에,126.0480183,38359,759.404162,5264640,759.404162
1295,사랑은 다 그런거래요,86.1328125,33600,669.9453955,5182272,669.9453955
